City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Miami Beach,US,2021-04-11 18:37:14,25.7906,-80.1301,89.6,55,75,18.41
253,Weiser,US,2021-04-11 18:38:25,44.251,-116.9693,48.2,21,1,12.66
254,Tabou,CI,2021-04-11 18:38:26,4.423,-7.3528,81.39,81,51,9.42
255,Grand Gaube,MU,2021-04-11 18:38:26,-20.0064,57.6608,78.01,81,95,1.99
256,Evensk,RU,2021-04-11 18:33:45,61.95,159.2333,-4.92,78,13,11.03
257,Flin Flon,CA,2021-04-11 18:34:20,54.7682,-101.865,30.2,74,90,9.22
258,Allonnes,FR,2021-04-11 18:38:27,47.9674,0.1581,46.4,61,90,10.36
259,Santa Engracia,ES,2021-04-11 18:38:27,41.9406,-1.3245,55.0,62,20,19.57
260,Karratha,AU,2021-04-11 18:38:28,-20.7377,116.8463,82.72,75,100,6.98
261,Mbandaka,CD,2021-04-11 18:38:28,0.0487,18.2603,71.17,89,100,3.0
262,Caxito,AO,2021-04-11 18:38:28,-8.5785,13.6643,82.4,74,40,5.75
263,Aripuana,BR,2021-04-11 18:38:29,-9.1667,-60.6333,79.3,80,93,1.05
264,Santa Maria Do Suacui,BR,2021-04-11 18:38:29,-18.1903,-42.4142,79.65,49,48,1.03
